period,reporterDesc,partnerDesc,cmdCode,qty,altQty,netWgt,Merge_qty,primaryValue
2019,Ghana,Italy,710812,2.79,2.79,2.79,2.79,"$125,839.50"
2019,Ghana,Pakistan,710812,92.99,92.99,92.99,92.99,"$3,706,906.03"
2019,Ghana,Sierra Leone,710812,1.91,1.91,1.91,1.91,"$95,730.66"
2019,Ghana,India,710812,3719.88,3719.88,3719.88,3719.88,"$154,281,377.88"
2019,Ghana,Singapore,710812,1.86,1.86,1.86,1.86,"$75,356.18"
2019,Ghana,Thailand,710812,5.77,5.77,5.77,5.77,"$249,579.78"
2019,Ghana,United Arab Emirates,710812,2075.37,2075.37,2075.37,2075.37,"$90,330,155.37"
2019,Ghana,Türkiye,710812,2.79,2.79,2.79,2.79,"$113,569.82"
2019,Ghana,USA,710812,1.93,1.93,1.93,1.93,"$95,294.96"
2019,Ghana,World,710813,0,1291935.17,,0,"$5,928,795,039.15"
2019,Ghana,Austria,710813,1,1,1,1,"$45,142.30"
2019,Ghana,Belgium,710813,155.3,155.3,155.3,155.3,"$6,692,463.04"
2019,Ghana,Brazil,710813,176.26,176.26,176.26,176.26,"$7,382,882.89"
2019,Ghana,Canada,710813,82.97,82.97,82.97,82.97,"$3,784,391.01"
2019,Ghana,"China, Hong Kong SAR",710813,4061.48,4061.48,4061.48,4061.48,"$180,857,208.57"
2019,Ghana,Italy,710813,3.71,3.71,3.71,3.71,"$148,323.77"
2019,Ghana,Japan,710813,2.85,2.85,2.85,2.85,"$82,558.68"
2019,Ghana,Rep. of Korea,710813,4.719,929.76,4.719,4.719,"$189,617.46"
2019,Ghana,Lebanon,710813,53.75,53.75,53.75,53.75,"$2,465,542.43"
2019,Ghana,Latvia,710813,1,1,1,1,"$42,793.32"
2019,Ghana,"Other Asia, nes",710813,1.87,1.87,1.87,1.87,"$75,255.50"
2019,Ghana,Netherlands,710813,1,1,1,1,"$18,081.25"
2019,Ghana,Pakistan,710813,240,240,240,240,"$9,669,354.62"
2019,Ghana,Portugal,710813,2.91,2.91,2.91,2.91,"$119,617.99"
2019,Ghana,Saudi Arabia,710813,0.05,0.05,0.05,0.05,"$2,118.61"
2019,Ghana,Sierra Leone,710813,1,1,1,1,"$37,984.21"
2019,Ghana,India,710813,38773.29,38773.29,38773.29,38773.29,"$1,537,624,969.02"
2019,Ghana,South Africa,710813,27752.32,27752.32,27752.32,27752.32,"$1,058,886,523.16"
2019,Ghana,Switzerland,710813,62921.79,62921.79,62921.79,62921.79,"$2,377,844,886.32"
2019,Ghana,Thailand,710813,3.39,3.39,3.39,3.39,"$170,518.26"
2019,Ghana,United Arab Emirates,710813,0,1156707.23,,0,"$740,047,062.92"
2019,Ghana,Türkiye,710813,49.29,49.29,49.29,49.29,"$2,131,152.44"
2019,Ghana,United Kingdom,710813,6.58,6.58,6.58,6.58,"$270,670.93"
2019,Ghana,USA,710813,6.37,6.37,6.37,6.37,"$205,920.48"
2020,Nigeria,World,7108,0,0,0,0,"$2,066,218.46"
2020,Nigeria,United Arab Emirates,7108,0,0,0,0,"$1,592,963.95"
2020,Nigeria,Türkiye,7108,30,30,30,30,"$473,254.51"
2020,Nigeria,World,710812,0,107565,0,0,"$1,904,286.89"
2020,Nigeria,United Arab Emirates,710812,0,107535,0,0,"$1,431,032.38"
2020,Nigeria,Türkiye,710812,30,30,30,30,"$473,254.51"
2020,Nigeria,World,710813,0,4400,0,0,"$161,931.57"
2020,Nigeria,United Arab Emirates,710813,0,4400,0,0,"$161,931.57"
2021,Ghana,World,7108,2698822.551,5822523.01,103016.865,2698822.551,"$5,123,945,223.26"
2021,Ghana,Australia,7108,104225.45,104225.45,3960.257,104225.45,"$187,334,441.84"
2021,Ghana,Belgium,7108,1,1,1,1,"$54,867.58"
2021,Ghana,Canada,7108,693.401,693.401,23.312,693.401,"$1,252,011.36"
2021,Ghana,Germany,7108,29.836,29.836,0.928,29.836,"$52,494.73"
2021,Ghana,"China, Hong Kong SAR",7108,13202.04,13202.04,688.179,13202.04,"$39,794,329.60"
2021,Ghana,Italy,7108,1550.379,1550.379,97.137,1550.379,"$5,576,114.61"
2021,Ghana,Japan,7108,14.867,14.867,0.462,14.867,"$26,257.52"
2021,Ghana,Rep. of Korea,7108,135.981,135.981,5.973,135.981,"$307,300.86"
2021,Ghana,Latvia,7108,1,1,0.91,1,"$54,588.09"
2021,Ghana,Oman,7108,31.892,31.892,0.992,31.892,"$57,447.14"
2021,Ghana,New Zealand,7108,2.146,2.146,0.067,2.146,"$3,672.26"
2021,Ghana,Nigeria,7108,59.588,59.588,2.006,59.588,"$109,141.11"
2021,Ghana,Poland,7108,3.123,3.123,0.9,3.123,"$5,521.87"
2021,Ghana,Sierra Leone,7108,59.492,59.492,2,59.492,"$109,809.69"
2021,Ghana,India,7108,545893.147,547659.226,19761.749,545893.147,"$1,001,975,665.52"
2021,Ghana,South Africa,7108,675674.324,3797608.704,27501.882,675674.324,"$1,393,631,712.02"
2021,Ghana,Switzerland,7108,1320169.2,1320169.2,49403.677,1320169.2,"$2,405,706,522.36"
2021,Ghana,Thailand,7108,1188.493,1188.493,41.002,1188.493,"$2,203,179.52"
2021,Ghana,United Arab Emirates,7108,30525.508,30525.508,1341.972,30525.508,"$75,164,308.02"
2021,Ghana,Türkiye,7108,1334.371,1334.371,41.727,1334.371,"$2,610,279.35"
2021,Ghana,United Kingdom,7108,120.006,120.006,3.732,120.006,"$212,855.82"
2021,Ghana,United Rep. of Tanzania,7108,3777.74,3777.74,125.001,3777.74,"$7,005,170.53"
2021,Ghana,USA,7108,129.567,129.567,12,129.567,"$697,531.86"
2021,Ghana,World,710812,24135.228,25901.307,765.114,24135.228,"$43,933,532.12"
2021,Ghana,Nigeria,710812,59.588,59.588,2.006,59.588,"$109,141.11"
2021,Ghana,Sierra Leone,710812,59.492,59.492,2,59.492,"$109,809.69"
2021,Ghana,India,710812,15510.537,17276.616,493.002,15510.537,"$28,448,231.83"
2021,Ghana,United Arab Emirates,710812,8144.227,8144.227,256.719,8144.227,"$14,490,608.20"
2021,Ghana,Türkiye,710812,361.384,361.384,11.387,361.384,"$775,741.29"
2021,Ghana,World,710813,2674687.323,5796621.703,102251.751,2674687.323,"$5,080,011,691.13"
2021,Ghana,Australia,710813,104225.45,104225.45,3960.257,104225.45,"$187,334,441.84"
2021,Ghana,Belgium,710813,1,1,1,1,"$54,867.58"
2021,Ghana,Canada,710813,693.401,693.401,23.312,693.401,"$1,252,011.36"
2021,Ghana,Germany,710813,29.836,29.836,0.928,29.836,"$52,494.73"
2021,Ghana,"China, Hong Kong SAR",710813,13202.04,13202.04,688.179,13202.04,"$39,794,329.60"
2021,Ghana,Italy,710813,1550.379,1550.379,97.137,1550.379,"$5,576,114.61"
2021,Ghana,Japan,710813,14.867,14.867,0.462,14.867,"$26,257.52"
2021,Ghana,Rep. of Korea,710813,135.981,135.981,5.973,135.981,"$307,300.86"
2021,Ghana,Latvia,710813,1,1,0.91,1,"$54,588.09"
2021,Ghana,Oman,710813,31.892,31.892,0.992,31.892,"$57,447.14"
2021,Ghana,New Zealand,710813,2.146,2.146,0.067,2.146,"$3,672.26"
2021,Ghana,Poland,710813,3.123,3.123,0.9,3.123,"$5,521.87"
